account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,30fad955-b03c-4a23-bb2d-7e1473500aaa,Exploring Stonehenge meant making faces,2019-06-27 15:42:00,Heidi Murkoff,HeidiMurkoff,,,0,post,Exploring Stonehenge meant making faces and looking for them in the stones. And searching mole hills for pieces of ancient flint arrows. And trying to figure out how the boulders were carried so far. And taking a nice nap in a hut. A dream day for this little lover of artifacts and for the Heidi and Papa who love him🇬🇧❤️💕,https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2471349042927431&action=UNSAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986682&hash=AeSm9lZuT8G6XR64&refid=17&_ft_=mf_story_key.2471349042927431%3Atop_level_post_id.2471349042927431%3Atl_objid.2471349042927431%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2471349042927431%3Apage_id.170644966331195%3Aphoto_attachments_list.%5B2471340642928271%2C2471340912928244%2C2471340786261590%2C2471340662928269%5D%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2471349042927431%2C%22story_fbids%22%3A%5B2471349042927431%5D%2C%22publish_time%22%3A1561624956%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2471349042927431%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A6508311068007997388&__tn__=%2AW-R,51,0,,5,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,0dfc4d73-9b3f-412d-b5d2-a7a60050e5b1,Learning about lichen and ancient,2019-06-27 15:33:00,Heidi Murkoff,HeidiMurkoff,,,0,post,Learning about lichen and ancient stones and burial mounds of Avebury while trying to keep his pants up and avoiding stepping in sheep poo yesterday. #multitasking,https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2471339426261726&action=UNSAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986682&hash=AeRq7FaaM1fXQJxA&refid=17&_ft_=mf_story_key.2471339426261726%3Atop_level_post_id.2471339426261726%3Atl_objid.2471339426261726%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2471339426261726%3Apage_id.170644966331195%3Aphoto_attachments_list.%5B2471337012928634%2C2471337679595234%2C2471338626261806%2C2471338496261819%5D%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2471339426261726%2C%22story_fbids%22%3A%5B2471339426261726%5D%2C%22publish_time%22%3A1561624397%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2471339426261726%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A6266705911020087159&__tn__=%2AW-R,10,0,,1,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,b3d98d06-e46d-4a6d-9af9-396c7bbb4572,A knight to remember at,2019-06-26 04:18:00,Heidi Murkoff,HeidiMurkoff,,,0,post,A knight to remember at the Tower of London today...especially because Sir Lennox-alot got to sit on the royal “throne”. Poop jokes ensued of course. 💩 👑,https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2468612706534398&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986682&hash=AeRZpgUZTG3v-WQl&refid=17&_ft_=mf_story_key.2468612706534398%3Atop_level_post_id.2468612706534398%3Atl_objid.2468612706534398%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2468612706534398%3Apage_id.170644966331195%3Aphoto_attachments_list.%5B2468608566534812%2C2468608536534815%2C2468608476534821%5D%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2468612706534398%2C%22story_fbids%22%3A%5B2468612706534398%5D%2C%22publish_time%22%3A1561497530%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2468612706534398%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A4761377960284536117&__tn__=%2AW-R,22,0,,1,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,8ac63e0e-ba61-4111-8219-41d2eee40048,At the Cavalry Museum and,2019-06-24 23:31:00,Heidi Murkoff,HeidiMurkoff,,,0,post,"At the Cavalry Museum and the British Museum, Len imitating art 🖼 🐎",https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2466327770096225&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986682&hash=AeRivKEJb8gPUM9F&refid=17&_ft_=mf_story_key.2466327770096225%3Atop_level_post_id.2466327770096225%3Atl_objid.2466327770096225%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2466327770096225%3Apage_id.170644966331195%3Aphoto_attachments_list.%5B2466324253429910%2C2466324190096583%5D%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2466327770096225%2C%22story_fbids%22%3A%5B2466327770096225%5D%2C%22publish_time%22%3A1561393904%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2466327770096225%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A-4332616226619658254&__tn__=%2AW-R,31,0,,2,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,8cb0baec-bfae-4d6f-91c5-c2d7330110d3,I only have London Eye(s),2019-06-24 23:27:00,Heidi Murkoff,HeidiMurkoff,,,0,post,I only have London Eye(s) for you🇬🇧And eyes cream 🍦,https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2466322893430046&action=UNSAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986682&hash=AeTme5v-qB4El1e3&refid=17&_ft_=mf_story_key.2466322893430046%3Atop_level_post_id.2466322893430046%3Atl_objid.2466322893430046%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2466322893430046%3Apage_id.170644966331195%3Aphoto_attachments_list.%5B2466320546763614%2C2466320566763612%5D%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2466322893430046%2C%22story_fbids%22%3A%5B2466322893430046%5D%2C%22publish_time%22%3A1561393678%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2466322893430046%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A-2487041605398857836&__tn__=%2AW-R,73,0,,5,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,75e1bc90-c502-4448-8462-ac99016fac63,/ H e i d,2019-06-24 21:02:00,Heidi Murkoff,HeidiMurkoff,,,0,post,/ H e i d i M u r k o f f / p h o t o s / a . 3 2 7 8 4 3 8 6 7 2 7 7 9 7 0 / 2 4 6 6 1 0 4 1 6 0 1 1 8 5 8 6 / ? t y p e = 3 & r e f i d = 1 7 & _ f t _ = m f _ s t o r y _ k e y . 2 4 6 6 1 0 4 3 1 6 7 8 5 2 3 7 % 3 A t o p _ l e v e l _ p o s t _ i d . 2 4 6 6 1 0 4 1 6 0 1 1 8 5 8 6 % 3 A t l _ o b j i d . 2 4 6 6 1 0 4 1 6 0 1 1 8 5 8 6 % 3 A c o n t e n t _ o w n e r _ i d _ n e w . 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 3 A t h r o w b a c k _ s t o r y _ f b i d . 2 4 6 6 1 0 4 3 1 6 7 8 5 2 3 7 % 3 A p a g e _ i d . 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 3 A p h o t o _ i d . 2 4 6 6 1 0 4 1 6 0 1 1 8 5 8 6 % 3 A s t o r y _ l o c a t i o n . 4 % 3 A s t o r y _ a t t a c h m e n t _ s t y l e . c o v e r _ p h o t o % 3 A p a g e _ i n s i g h t s . % 7 B % 2 2 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 2 2 % 3 A % 7 B % 2 2 r o l e % 2 2 % 3 A 1 % 2 C % 2 2 p a g e _ i d % 2 2 % 3 A 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 2 C % 2 2 p o s t _ c o n t e x t % 2 2 % 3 A % 7 B % 2 2 s t o r y _ f b i d % 2 2 % 3 A 2 4 6 6 1 0 4 3 1 6 7 8 5 2 3 7 % 2 C % 2 2 s t o r y _ f b i d s % 2 2 % 3 A % 5 B 2 4 6 6 1 0 4 3 1 6 7 8 5 2 3 7 % 5 D % 2 C % 2 2 p u b l i s h _ t i m e % 2 2 % 3 A 1 5 6 1 3 8 4 9 7 3 % 2 C % 2 2 s t o r y _ n a m e % 2 2 % 3 A % 2 2 E n t C o v e r P h o t o E d g e S t o r y % 2 2 % 2 C % 2 2 o b j e c t _ f b t y p e % 2 2 % 3 A 2 2 % 7 D % 2 C % 2 2 a c t o r _ i d % 2 2 % 3 A 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 2 C % 2 2 p s n % 2 2 % 3 A % 2 2 E n t C o v e r P h o t o E d g e S t o r y % 2 2 % 2 C % 2 2 s l % 2 2 % 3 A 4 % 2 C % 2 2 d m % 2 2 % 3 A % 7 B % 2 2 i s S h a r e % 2 2 % 3 A 0 % 2 C % 2 2 o r i g i n a l P o s t O w n e r I D % 2 2 % 3 A 0 % 7 D % 7 D % 7 D % 3 A t h i d . 1 7 0 6 4 4 9 6 6 3 3 1 1 9 5 % 3 A 3 0 6 0 6 1 1 2 9 4 9 9 4 1 4 % 3 A 6 2 % 3 A 0 % 3 A 1 5 6 1 9 6 4 3 9 9 % 3 A 3 1 4 2 2 7 0 2 0 3 5 4 2 3 7 3 3 7 & _ _ t n _ _ = % 2 A W - R,https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2466104316785237&action=UNSAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986703&hash=AeQJj7FZNN4_eCMo&refid=17&_ft_=mf_story_key.2466104316785237%3Atop_level_post_id.2466104160118586%3Atl_objid.2466104160118586%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2466104316785237%3Apage_id.170644966331195%3Aphoto_id.2466104160118586%3Astory_location.4%3Astory_attachment_style.cover_photo%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2466104316785237%2C%22story_fbids%22%3A%5B2466104316785237%5D%2C%22publish_time%22%3A1561384973%2C%22story_name%22%3A%22EntCoverPhotoEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntCoverPhotoEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.170644966331195%3A306061129499414%3A62%3A0%3A1561964399%3A314227020354237337&__tn__=%2AW-R,11,0,,1,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,c8e7fc98-8b5d-4192-98cb-eb047352a92a,"So, in all the flurry",2019-06-23 10:19:00,Heidi Murkoff,HeidiMurkoff,,,0,post,"So, in all the flurry of finishing the book and getting packed, I didn’t mention...Erik and I are taking our first “vacation” in six years, and we are taking Lennox with us! We are heading to London and then to Rome, and just took off. Lennox is SO excited and so are we❤️❤️ Of course I will stay in...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2463433920385610%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986703&hash=AeTjMdLZ5YJlSmeV&refid=17&_ft_=mf_story_key.2463433920385610%3Atop_level_post_id.2463433920385610%3Atl_objid.2463433920385610%3Acontent_owner_id_new.170644966331195%3Athrowback_story_fbid.2463433920385610%3Apage_id.170644966331195%3Aphoto_id.2463433920385610%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2463433920385610%2C%22story_fbids%22%3A%5B2463433920385610%5D%2C%22publish_time%22%3A1561259948%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2463433920385610%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A69%3A0%3A1561964399%3A5712931423895209196&__tn__=%2AW-R,77,0,,10,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,64074789-681e-4c7e-ac39-341f41ae2e94,"Hi Ednita! Wow, you are",2019-06-23 10:12:00,Heidi Murkoff,HeidiMurkoff,,,0,post,"Hi Ednita! Wow, you are almost at the finish line....so exciting! Hiccups are so much fun to watch aren’t they? And most babies have them, and some babies have them a lot! Emma did:) It’s just a reflex, probably designed as practice breathing. Normal and oh so cute, though they don’t count in your daily kick count❤️💕👍 I’m 36 weeks and I have notice my baby hiccups every day, is my first baby so I don’t know if it is normal... 😬 I read some articles and they are just making me worry!",https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2463426420386360&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986703&hash=AeQEMp3pjZzVfyEz&refid=17&_ft_=mf_story_key.2463426420386360%3Atop_level_post_id.2463426420386360%3Atl_objid.2463426420386360%3Acontent_owner_id_new.170644966331195%3Aoriginal_content_id.2463030743759261%3Aoriginal_content_owner_id.100005151966081%3Athrowback_story_fbid.2463426420386360%3Apage_id.170644966331195%3Astory_location.4%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2463426420386360%2C%22story_fbids%22%3A%5B2463426420386360%5D%2C%22publish_time%22%3A1561259561%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2463030743759261%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2463426420386360%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A-792375507020019128&__tn__=%2AW-R,0,0,,1,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,c73fa88d-b4fa-41ad-a7bc-7958b0fdf789,Hey Lexi! Congrats on daytime,2019-06-23 02:19:00,Heidi Murkoff,HeidiMurkoff,,,0,post,"Hey Lexi! Congrats on daytime training!!! If she is wetting during the night, she may just not be ready to stay dry (and physiologically, kids often aren't until much later). Is she in a crib or a bed? Because being able to get herself up to pee may still be a stretch, even if the potty is close to... Hey I’m potty training my 2 1/2 year old and she wearing underwear during the day but at nighttime I typically put on diaper/pull up she keeps taking it off and wetting the bed. Any recommendations? Also how do I get her to pull down her pants?",https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2462840260444976&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986703&hash=AeT3pHquRE0RHIYT&refid=17&_ft_=mf_story_key.2462840260444976%3Atop_level_post_id.2462840260444976%3Atl_objid.2462840260444976%3Acontent_owner_id_new.170644966331195%3Aoriginal_content_id.2462372823825053%3Aoriginal_content_owner_id.100002088377118%3Athrowback_story_fbid.2462840260444976%3Apage_id.170644966331195%3Aphoto_id.2521423724603882%3Astory_location.4%3Aattached_story_attachment_style.photo%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2462840260444976%2C%22story_fbids%22%3A%5B2462840260444976%5D%2C%22publish_time%22%3A1561231163%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2462372823825053%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2462840260444976%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A-5336558600880761466&__tn__=%2AW-R,1,0,,2,0,,,,,,,2019-06-28,HeidiMurkoff
Mom Bloggers by Influence 5.19.xlsx,communityadmin@whattoexpect.com,communityadmin@whattoexpect.com,facebook,c6fbae7a-c3fa-4662-90b0-f646d4d1f0e3,"William, you are rocking those",2019-06-23 02:12:00,Heidi Murkoff,HeidiMurkoff,,,0,post,"William, you are rocking those pushups! Jaime, he is sitting well, so next step is leaning forward to reach something, and ending up on his hands and knees, which I am sure he will do! Just takes practice and opportunity:) You can also try getting him into hands and knees and you and boys showing... Question for you... when is the time that he should start getting his knees up too? And anything I can do to help him? Jeremy never did without Early Intervention (which started at 14 months for him) and Dustin never crawled - just butt surfed everywhere because he also has low tone like Jeremy and found that easiest.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I170644966331195%3A2462832137112455&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561986703&hash=AeSnb-gutO6xXQhI&refid=17&_ft_=mf_story_key.2462832137112455%3Atop_level_post_id.2462832137112455%3Atl_objid.2462832137112455%3Acontent_owner_id_new.170644966331195%3Aoriginal_content_id.2460764533985882%3Aoriginal_content_owner_id.1321071795%3Athrowback_story_fbid.2462832137112455%3Apage_id.170644966331195%3Aphoto_id.10219023037989822%3Astory_location.4%3Aattached_story_attachment_style.photo%3Apage_insights.%7B%22170644966331195%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A170644966331195%2C%22post_context%22%3A%7B%22story_fbid%22%3A2462832137112455%2C%22story_fbids%22%3A%5B2462832137112455%5D%2C%22publish_time%22%3A1561230733%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A170644966331195%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2460764533985882%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A170644966331195%2C%22actor_id%22%3A170644966331195%2C%22role%22%3A1%2C%22post_id%22%3A2462832137112455%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.170644966331195%3A306061129499414%3A2%3A0%3A1561964399%3A-5628566914221411931&__tn__=%2AW-R,9,0,,1,0,,,,,,,2019-06-28,HeidiMurkoff
