account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,d471c63c-8ec9-4c7e-a2f4-9af090d7d58f,Dr. Drew After Dark :,2019-06-27 07:11:00,Dr. Drew,drdrew,,,0,post,Dr. Drew After Dark : Dr. Drew After Dark w/ Seth Green - Ep. 20,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2129674507160538&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993596&hash=AeSLYC9dXRWftDY_&refid=17&_ft_=mf_story_key.2129674507160538%3Atop_level_post_id.2129674507160538%3Atl_objid.2129674507160538%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2129674507160538%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2129674507160538%2C%22story_fbids%22%3A%5B2129674507160538%5D%2C%22publish_time%22%3A1561644679%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2129674507160538%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A4002812821248057434&__tn__=%2AW-R,24,0,,0,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,aa85beb1-a01a-4569-98c1-7ac7f8e8278d,https://drdrew.com/2019/michelle-farm-babe-miller-episode-383/,2019-06-22 12:00:00,Dr. Drew,drdrew,,,0,post,https://drdrew.com/2019/michelle-farm-babe-miller-episode-383/,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2121058544688801&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993596&hash=AeRGyu3od9Uoxqb1&refid=17&_ft_=mf_story_key.2121058544688801%3Atop_level_post_id.2121058544688801%3Atl_objid.2121058544688801%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2121058544688801%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2121058544688801%2C%22story_fbids%22%3A%5B2121058544688801%5D%2C%22publish_time%22%3A1561230053%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2121058544688801%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-6633327714474559234&__tn__=%2AW-R,15,0,,1,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,4c7fbf26-229f-4363-8d3a-1fc640ae5bd3,"Lesbian, Gay, Bisexual and Transgender",2019-06-22 11:46:00,Dr. Drew,drdrew,,,0,post,"Lesbian, Gay, Bisexual and Transgender Pride Month (LGBT Pride Month) is currently celebrated each year in the month of June to honor the 1969 Stonewall uprising in Greenwich Village. The last Sunday in June is celebrated as Gay Pride Day. On June 2, 2000, President Bill Clinton declared June ""Gay &...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2121038318024157&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993596&hash=AeRPHM8t6Y7iVxCS&refid=17&_ft_=mf_story_key.2121038318024157%3Atop_level_post_id.2121038318024157%3Atl_objid.2121038318024157%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2121038318024157%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2121038318024157%2C%22story_fbids%22%3A%5B2121038318024157%5D%2C%22publish_time%22%3A1561229170%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2121038318024157%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-2316361373662450982&__tn__=%2AW-R,20,0,,2,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,1ee2fecd-a659-43c0-8202-01f74a931979,"Joe List, one of our",2019-06-20 11:09:00,Dr. Drew,drdrew,,,0,post,"Joe List, one of our first New York comics on the show, is in the hot seat on Dr. Drew After Dark this week! Joe has a NETFLIX special via “The Standups,” he’s been on Letterman, The Tonight Show, and has a podcast with Mark Normand called “Tuesdays with Stories.” Joe is a comedian who is full of...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2117579701703352&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993596&hash=AeRNtKVP5rdANXN5&refid=17&_ft_=mf_story_key.2117579701703352%3Atop_level_post_id.2117579701703352%3Atl_objid.2117579701703352%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2117579701703352%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2117579701703352%2C%22story_fbids%22%3A%5B2117579701703352%5D%2C%22publish_time%22%3A1561054199%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2117579701703352%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A1802724695950728712&__tn__=%2AW-R,25,0,,1,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,4a7cac30-c1e9-46fc-aa99-1d0666bbd00d,Dr. Drew After Dark :,2019-06-20 07:04:00,Dr. Drew,drdrew,,,0,post,Dr. Drew After Dark : Dr. Drew After Dark w/ Joe List - Ep. 19,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2117221148405874&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993596&hash=AeSLtzp1y-tjyZ0t&refid=17&_ft_=mf_story_key.2117221148405874%3Atop_level_post_id.2117221148405874%3Atl_objid.2117221148405874%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2117221148405874%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2117221148405874%2C%22story_fbids%22%3A%5B2117221148405874%5D%2C%22publish_time%22%3A1561039473%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2117221148405874%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-8803228242453729908&__tn__=%2AW-R,19,0,,2,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,a2749039-10c2-4383-9d52-44f1ca45250c,So fun today with my,2019-06-16 19:00:00,Dr. Drew,drdrew,,,0,post,So fun today with my son Jordan and wife Su Sailer at the La Dodgers game! Thanks to Prostate Cancer Foundation for inviting us and the second chance I have had in this lifetime! Let all of us Dads enjoy this day together! #youlive #prostatecancerawaresness #happyfathersday #pcforg,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2111084825686173&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993613&hash=AeRkMj3cBNjf9Lyr&refid=17&_ft_=mf_story_key.2111084825686173%3Atop_level_post_id.2111084825686173%3Atl_objid.2111084825686173%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2111084825686173%3Apage_id.604502526344418%3Aphoto_id.2111082922353030%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2111084825686173%2C%22story_fbids%22%3A%5B2111084825686173%5D%2C%22publish_time%22%3A1560736850%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2111084825686173%2C%22share_id%22%3A0%7D%5D%7D%2C%2217561285115%22%3A%7B%22page_id%22%3A17561285115%2C%22role%22%3A16%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-8600058194263411647&__tn__=%2AW-R,246,0,,18,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,0a4ebfb2-16ba-46f4-a525-edd0b39cb7a1,Ryan Sickler of YMH Studios’,2019-06-15 10:43:00,Dr. Drew,drdrew,,,0,post,"Ryan Sickler of YMH Studios’ own HoneyDew Podcast joins Dr. Drew today on Dr. Drew After Dark! We learn why Ryan is a Honeydew and why he created a podcast dedicated to this role. Dr. Drew dives into Ryan’s childhood trauma when his mom left his family, and learns of reconciliations that occurred...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2108778642583458&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993613&hash=AeThDF2smb2syjQG&refid=17&_ft_=mf_story_key.2108778642583458%3Atop_level_post_id.2108778642583458%3Atl_objid.2108778642583458%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2108778642583458%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2108778642583458%2C%22story_fbids%22%3A%5B2108778642583458%5D%2C%22publish_time%22%3A1560620592%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2108778642583458%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-5403157125281157189&__tn__=%2AW-R,21,0,,2,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,1a579454-a6a7-4e7e-b9ee-24e52c9dfa01,Are hormones killing us? https://go.drdrew.com/2F7jE8E,2019-06-14 15:35:00,Dr. Drew,drdrew,,,0,post,Are hormones killing us? https://go.drdrew.com/2F7jE8E,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2107413979386591&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993613&hash=AeS1GKvCoVtSE32Q&refid=17&_ft_=mf_story_key.2107413979386591%3Atop_level_post_id.2107413979386591%3Atl_objid.2107413979386591%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2107413979386591%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2107413979386591%2C%22story_fbids%22%3A%5B2107413979386591%5D%2C%22publish_time%22%3A1560551752%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2107413979386591%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A-1760459348669143638&__tn__=%2AW-R,16,0,,1,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,60fee5f3-fb57-45a6-bec9-5ed1423145c9,Mannequins Made Real: How Nike’s,2019-06-14 15:21:00,Dr. Drew,drdrew,,,0,post,Mannequins Made Real: How Nike’s New Mannequins Support Body Diversity In Sports By Paulina Pinsky. https://go.drdrew.com/mannequinsmaderealbyPaulinaPinsky,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2107400356054620&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993613&hash=AeQAj0KBBcHdoOD5&refid=17&_ft_=mf_story_key.2107400356054620%3Atop_level_post_id.2107400356054620%3Atl_objid.2107400356054620%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2107400356054620%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2107400356054620%2C%22story_fbids%22%3A%5B2107400356054620%5D%2C%22publish_time%22%3A1560550907%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2107400356054620%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A555266175430781271&__tn__=%2AW-R,64,0,,11,0,,,,,,,2019-06-28,drdrew
Mom Bloggers by Influence 5.19.xlsx,email@drdrew.com,email@drdrew.com,facebook,06a941b9-7a0e-43d9-b12a-4ced75dd0a3a,https://go.drdrew.com/MixingOpioidBenzodiazepinesEqualsDeath,2019-06-14 09:35:00,Dr. Drew,drdrew,,,0,post,https://go.drdrew.com/MixingOpioidBenzodiazepinesEqualsDeath,https://www.facebook.com/save/story/basic/?story_id=S%3A_I604502526344418%3A2106971889430800&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561993613&hash=AeTn3noK-JRdUxqs&refid=17&_ft_=mf_story_key.2106971889430800%3Atop_level_post_id.2106971889430800%3Atl_objid.2106971889430800%3Acontent_owner_id_new.604502526344418%3Athrowback_story_fbid.2106971889430800%3Apage_id.604502526344418%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22604502526344418%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A604502526344418%2C%22post_context%22%3A%7B%22story_fbid%22%3A2106971889430800%2C%22story_fbids%22%3A%5B2106971889430800%5D%2C%22publish_time%22%3A1560530158%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A604502526344418%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A604502526344418%2C%22actor_id%22%3A604502526344418%2C%22role%22%3A1%2C%22post_id%22%3A2106971889430800%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.604502526344418%3A306061129499414%3A2%3A0%3A1561964399%3A5122051994006546192&__tn__=%2AW-R,24,0,,3,0,,,,,,,2019-06-28,drdrew
