account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,12cc3f4f-b8e0-4f60-aff8-78ac681969a0,It's a GREAT DAY when,2019-06-28 17:00:00,JudyGoss,JudyGossMedia,,,0,post,"It's a GREAT DAY when you see a beautiful feature like ""Rising Star"" on Authority Magazine!!! THANK YOU Yitzi Weiner and your team for making this possible:",https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1268578993323986&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996695&hash=AeQDp9yTygyj-hBT&refid=17&_ft_=mf_story_key.1268578993323986%3Aog_action_id.1268579006657318%3Atop_level_post_id.1268578993323986%3Atl_objid.1268578993323986%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1268578993323986%3Apage_id.384191055096122%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1268578993323986%2C%22story_fbids%22%3A%5B1268578993323986%5D%2C%22publish_time%22%3A1561657538%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1268578993323986%2C%22share_id%22%3A0%7D%5D%7D%2C%222170294859857034%22%3A%7B%22page_id%22%3A2170294859857034%2C%22role%22%3A16%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.384191055096122%3A306061129499414%3A2%3A0%3A1561964399%3A8218813924005474467&__tn__=%2AW-R,48,0,,7,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,876e14b8-3db1-4ec4-bfc1-872d8f03762b,Excited to talk #relationships #dating,2019-06-27 06:20:00,JudyGoss,JudyGossMedia,,,0,post,Excited to talk #relationships #dating and more LIVE with Dr Dana McNeil tonight at 8pm EST #whatwomenwant #love #talkitout #marriage #divorce #couples #therapy,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1267960520052500%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996695&hash=AeRErfZ7PP071Xq4&refid=17&_ft_=mf_story_key.1267960520052500%3Atop_level_post_id.1267960520052500%3Atl_objid.1267960520052500%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1267960520052500%3Apage_id.384191055096122%3Aphoto_id.1267960520052500%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1267960520052500%2C%22story_fbids%22%3A%5B1267960520052500%5D%2C%22publish_time%22%3A1561591202%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1267960520052500%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A69%3A0%3A1561964399%3A8498494177853332577&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,fac4dcf8-4329-409b-bdfe-eb6bbfca26f3,Just feelin’ grateful #wednesdayvibes #gratefulheart,2019-06-26 19:04:00,JudyGoss,JudyGossMedia,,,0,post,Just feelin’ grateful #wednesdayvibes #gratefulheart #livinginthemoment #tvhostlife #nyclife 🙏,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1267508263431059%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996695&hash=AeTL_73BsKACqoKW&refid=17&_ft_=mf_story_key.1267508263431059%3Atop_level_post_id.1267508263431059%3Atl_objid.1267508263431059%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1267508263431059%3Apage_id.384191055096122%3Aphoto_id.1267508263431059%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1267508263431059%2C%22story_fbids%22%3A%5B1267508263431059%5D%2C%22publish_time%22%3A1561550675%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1267508263431059%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A69%3A0%3A1561964399%3A6160599863164196543&__tn__=%2AW-R,14,0,,2,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,276519c0-046f-4633-b308-ca390ee7bb86,It’s news like this that,2019-06-22 21:06:00,JudyGoss,JudyGossMedia,,,0,post,"It’s news like this that gives me renewed energy for life!!! Amazing that our energetic, octogenarian salesman Nick Clarelli was featured on CBS News tonight and also that it was shot at the store!!",https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1264204863761399&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996695&hash=AeTaMWeu-NYQSt7G&refid=17&_ft_=mf_story_key.1264204863761399%3Atop_level_post_id.1264204863761399%3Atl_objid.1264204863761399%3Acontent_owner_id_new.384191055096122%3Aoriginal_content_id.2758250970912995%3Aoriginal_content_owner_id.152050478199737%3Athrowback_story_fbid.1264204863761399%3Apage_id.384191055096122%3Aphoto_id.610365339451575%3Astory_location.4%3Aattached_story_attachment_style.video_inline%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1264204863761399%2C%22story_fbids%22%3A%5B1264204863761399%5D%2C%22publish_time%22%3A1561212413%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2758250970912995%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1264204863761399%2C%22share_id%22%3A2758250970912995%7D%5D%7D%2C%22152050478199737%22%3A%7B%22page_id%22%3A152050478199737%2C%22role%22%3A1%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22attached_story%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A152050478199737%2C%22post_context%22%3A%7B%22story_fbid%22%3A2758250970912995%2C%22story_fbids%22%3A%5B2758250970912995%5D%2C%22publish_time%22%3A1561168629%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A152050478199737%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A152050478199737%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A2758250970912995%2C%22share_id%22%3A0%7D%5D%7D%2C%22131459315949%22%3A%7B%22page_id%22%3A131459315949%2C%22role%22%3A16%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22attached_story%22%3A%7B%22page_id%22%3A131459315949%2C%22role%22%3A16%2C%22actor_id%22%3A152050478199737%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.384191055096122%3A306061129499414%3A2%3A0%3A1561964399%3A307890054180831951&__tn__=%2AW-R,6,0,,1,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,d7a4d1e2-111d-433f-b9aa-888873aa0cd4,It’s Time We Get What,2019-06-16 21:19:00,JudyGoss,JudyGossMedia,,,0,post,It’s Time We Get What WE Want,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1259323400916212&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996695&hash=AeRyv_iGxNrH5oDp&refid=17&_ft_=mf_story_key.1259323400916212%3Atop_level_post_id.1259323400916212%3Atl_objid.1259323400916212%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1259323400916212%3Acall_to_action_type.EVENT_RSVP%3Apage_id.384191055096122%3Astory_location.4%3Astory_attachment_style.event%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1259323400916212%2C%22story_fbids%22%3A%5B1259323400916212%5D%2C%22publish_time%22%3A1560694749%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1259323400916212%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A2%3A0%3A1561964399%3A290898860874730742&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,b1847c4d-70bc-435b-990b-811b7507f305,Last chaaance....<3 LAST CALL: What,2019-06-16 02:29:00,JudyGoss,JudyGossMedia,,,0,post,Last chaaance....<3 LAST CALL: What Women Want National Conference Early Bird ends TOMORROW NIGHT: https://whatwomenwantconf.com/register,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1258724747642744&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996712&hash=AeQgGA-wuh8XjmsU&refid=17&_ft_=mf_story_key.1258724747642744%3Atop_level_post_id.1258724747642744%3Atl_objid.1258724747642744%3Acontent_owner_id_new.384191055096122%3Aoriginal_content_id.2316521511997260%3Aoriginal_content_owner_id.100009183013850%3Athrowback_story_fbid.1258724747642744%3Apage_id.384191055096122%3Aphoto_id.2316521511997260%3Astory_location.4%3Aattached_story_attachment_style.video_inline%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1258724747642744%2C%22story_fbids%22%3A%5B1258724747642744%5D%2C%22publish_time%22%3A1560626991%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2316521511997260%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1258724747642744%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A2%3A0%3A1561964399%3A8050148656306834534&__tn__=%2AW-R,5,0,,0,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,b73de707-e2d4-4d68-99ac-63744610b07e,Who wants sponsors?? 🙋‍♀️🙋‍♀️🙋‍♀️ TONIGHT,2019-06-13 00:12:00,JudyGoss,JudyGossMedia,,,0,post,Who wants sponsors?? 🙋‍♀️🙋‍♀️🙋‍♀️ TONIGHT LIVE on our What Women Want Show page - for ANY business! With Corporate Sponsorship Guru Linda Hollander,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1256115424570343&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996712&hash=AeSY-52UVDKiZfVo&refid=17&_ft_=mf_story_key.1256115424570343%3Atop_level_post_id.1256115424570343%3Atl_objid.1256115424570343%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1256115424570343%3Apage_id.384191055096122%3Aphoto_id.1256114514570434%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1256115424570343%2C%22story_fbids%22%3A%5B1256115424570343%5D%2C%22publish_time%22%3A1560359548%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1256115424570343%2C%22share_id%22%3A0%7D%5D%7D%2C%22614656785283075%22%3A%7B%22page_id%22%3A614656785283075%2C%22role%22%3A16%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22123854567696616%22%3A%7B%22page_id%22%3A123854567696616%2C%22role%22%3A16%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.384191055096122%3A306061129499414%3A2%3A0%3A1561964399%3A3793013209770389999&__tn__=%2AW-R,3,0,,1,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,37b938e8-a6c8-45b4-a457-acd34fdadcc0,Loved stopping by my friend’s,2019-06-10 09:55:00,JudyGoss,JudyGossMedia,,,0,post,"Loved stopping by my friend’s styling event Style by Evan 👠👗 today, my shirt says it all “When Women Support Each Other Great Things Happen” - !! 😍 So true. When we come together as peaceful human beings and ANY person supports the other, we all win 💫 #whatwomenwant #nylifestyle #womenempowerment #...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1254015164780369%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996712&hash=AeTi4g1P1uqIkSid&refid=17&_ft_=mf_story_key.1254015164780369%3Atop_level_post_id.1254015164780369%3Atl_objid.1254015164780369%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1254015164780369%3Apage_id.384191055096122%3Aphoto_id.1254015164780369%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1254015164780369%2C%22story_fbids%22%3A%5B1254015164780369%5D%2C%22publish_time%22%3A1560135329%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1254015164780369%2C%22share_id%22%3A0%7D%5D%7D%2C%221216602991721074%22%3A%7B%22page_id%22%3A1216602991721074%2C%22role%22%3A16%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.384191055096122%3A306061129499414%3A69%3A0%3A1561964399%3A-8981243912170544599&__tn__=%2AW-R,34,0,,1,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,20ae7677-4784-4bca-87f7-d0319110a988,#friendswhoarefamily❤️,2019-06-05 11:06:00,JudyGoss,JudyGossMedia,,,0,post,#friendswhoarefamily❤️,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1250047441843808%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996712&hash=AeRW64sCV9KuvfTv&refid=17&_ft_=mf_story_key.1250047441843808%3Atop_level_post_id.1250047441843808%3Atl_objid.1250047441843808%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1250047441843808%3Apage_id.384191055096122%3Aphoto_id.1250047441843808%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1250047441843808%2C%22story_fbids%22%3A%5B1250047441843808%5D%2C%22publish_time%22%3A1559707603%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1250047441843808%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A69%3A0%3A1561964399%3A1433171936953639205&__tn__=%2AW-R,19,0,,0,0,,,,,,,2019-06-28,JudyGossMedia
Mom Bloggers by Influence 5.19.xlsx,info@latalkradio.com,info@latalkradio.com,facebook,c116b9e0-8fb1-4311-972e-38fdb839b4c5,Couldn’t get a better view,2019-06-03 06:56:00,JudyGoss,JudyGossMedia,,,0,post,Couldn’t get a better view of the water or the guy on my birthday!!! Don’t ask how young 💫 #birthday #waterviews #nylifestyle,https://www.facebook.com/save/story/basic/?story_id=S%3A_I384191055096122%3A1248200625361823%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561996712&hash=AeS3h1nbnNSPbjO_&refid=17&_ft_=mf_story_key.1248200625361823%3Atop_level_post_id.1248200625361823%3Atl_objid.1248200625361823%3Acontent_owner_id_new.384191055096122%3Athrowback_story_fbid.1248200625361823%3Apage_id.384191055096122%3Aphoto_id.1248200625361823%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22384191055096122%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A384191055096122%2C%22post_context%22%3A%7B%22story_fbid%22%3A1248200625361823%2C%22story_fbids%22%3A%5B1248200625361823%5D%2C%22publish_time%22%3A1559519805%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A384191055096122%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A384191055096122%2C%22actor_id%22%3A384191055096122%2C%22role%22%3A1%2C%22post_id%22%3A1248200625361823%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.384191055096122%3A306061129499414%3A69%3A0%3A1561964399%3A6380527447903916574&__tn__=%2AW-R,132,0,,44,0,,,,,,,2019-06-28,JudyGossMedia
