account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,80c3ea92-c75e-4667-a543-abf017e41c92,Here's a link to today's,2019-06-28 10:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here's a link to today's show notes!!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2365171403576302&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988911&hash=AeRUFi7FgLmGE0Ie&refid=17&_ft_=mf_story_key.2365171403576302%3Atop_level_post_id.2365171403576302%3Atl_objid.2365171403576302%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2365171403576302%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2365171403576302%2C%22story_fbids%22%3A%5B2365171403576302%5D%2C%22publish_time%22%3A1561716030%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2365171403576302%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-4357542754165469519&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,959fba43-290b-4b81-87f8-ebfefede4209,Here is a link to,2019-06-28 10:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here is a link to today's Show Notes!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2365171336909642&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988911&hash=AeTcW150qTIet0U1&refid=17&_ft_=mf_story_key.2365171336909642%3Atop_level_post_id.2365171336909642%3Atl_objid.2365171336909642%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2365171336909642%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2365171336909642%2C%22story_fbids%22%3A%5B2365171336909642%5D%2C%22publish_time%22%3A1561716024%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2365171336909642%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-8683467345262502934&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,97f21b15-db89-48a1-8a5d-e881a58736ad,Our #MovieStarMonday guest this week,2019-06-28 06:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,"Our #MovieStarMonday guest this week is Joely Richardson (Nip/Tuck, The Tudors). She has a NEW series on Starz. THE ROOK is a supernatural spy thriller, based on the popular book of the same name, premieres on STARZ June 30. LINK TO TRAILER https://zurl.co/v1a7 #TheRook #Joely",https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2364944486932327%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988911&hash=AeSyrXrwSofVnvJb&refid=17&_ft_=mf_story_key.2364944486932327%3Atop_level_post_id.2364944486932327%3Atl_objid.2364944486932327%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2364944486932327%3Apage_id.826943744065750%3Aphoto_id.2364944486932327%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2364944486932327%2C%22story_fbids%22%3A%5B2364944486932327%5D%2C%22publish_time%22%3A1561701842%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2364944486932327%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A69%3A0%3A1561964399%3A-3784718882627615295&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,5573bf66-dff7-4d3b-ad34-225e698bf014,Here is a link to,2019-06-27 05:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here is a link to today's Show Notes!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2363495640410545&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988911&hash=AeSz90jSeJNKXvA2&refid=17&_ft_=mf_story_key.2363495640410545%3Atop_level_post_id.2363495640410545%3Atl_objid.2363495640410545%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2363495640410545%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2363495640410545%2C%22story_fbids%22%3A%5B2363495640410545%5D%2C%22publish_time%22%3A1561629627%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2363495640410545%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-8242575581970518579&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,be45a160-144d-446d-bf6c-819ee202d3dd,Here's a link to today's,2019-06-27 05:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here's a link to today's show notes!!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2363495390410570&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988911&hash=AeTXSYSTP68Za_9q&refid=17&_ft_=mf_story_key.2363495390410570%3Atop_level_post_id.2363495390410570%3Atl_objid.2363495390410570%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2363495390410570%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2363495390410570%2C%22story_fbids%22%3A%5B2363495390410570%5D%2C%22publish_time%22%3A1561629622%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2363495390410570%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-7535669309799948934&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,295b2beb-2f97-45a3-9c33-d781a8289e15,THIS WEEK'S DEAR JOHN LETTER!,2019-06-27 04:50:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,"THIS WEEK'S DEAR JOHN LETTER! (COMMENTS ARE WELCOME) Dear John, I am absolutely heartbroken. I've been married for three years. I love my wife so much. Yesterday I was looking for my phone and couldn't find it, so I picked up her phone to call my phone so I could find it. When I opened her phone I...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2362324650527644&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988927&hash=AeR7VIyMhHquB7XZ&refid=17&_ft_=mf_story_key.2362324650527644%3Atop_level_post_id.2362324650527644%3Atl_objid.2362324650527644%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2362324650527644%3Apage_id.826943744065750%3Aphoto_id.2362324110527698%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2362324650527644%2C%22story_fbids%22%3A%5B2362324650527644%5D%2C%22publish_time%22%3A1561629000%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2362324650527644%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-1551119301572666069&__tn__=%2AW-R,1,0,,1,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,c45666b3-68d5-4e3c-ad78-798fa258ec97,Here's a link to today's,2019-06-26 05:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here's a link to today's show notes!!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2361748433918599&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988927&hash=AeRnUupBuv-cZBeL&refid=17&_ft_=mf_story_key.2361748433918599%3Atop_level_post_id.2361748433918599%3Atl_objid.2361748433918599%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2361748433918599%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2361748433918599%2C%22story_fbids%22%3A%5B2361748433918599%5D%2C%22publish_time%22%3A1561543226%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2361748433918599%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A-4635927025310940621&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,d8f1dcbe-1184-4830-af06-dd00ace73ec9,Here is a link to,2019-06-26 05:00:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here is a link to today's Show Notes!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2361748330585276&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988927&hash=AeTU7JdLOnrgfsZk&refid=17&_ft_=mf_story_key.2361748330585276%3Atop_level_post_id.2361748330585276%3Atl_objid.2361748330585276%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2361748330585276%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2361748330585276%2C%22story_fbids%22%3A%5B2361748330585276%5D%2C%22publish_time%22%3A1561543221%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2361748330585276%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A4351427954211198534&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,d0034387-b406-47b7-8a13-190d78fad816,Tomorrow we visit with Anita,2019-06-25 08:37:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,"Tomorrow we visit with Anita Anand, author of THE PATIENT ASSASSIN: A True Tale of Massacre, Revenge, and India’s Quest for Independence. A TRUE STORY of one man's revenge after British forces fire at thousands of unarmed citizens in 1919. AVAILABLE NOW https://zurl.co/3Ouy",https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2360225717404204%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988927&hash=AeR4vqb9QieHjMZM&refid=17&_ft_=mf_story_key.2360225717404204%3Atop_level_post_id.2360225717404204%3Atl_objid.2360225717404204%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2360225717404204%3Apage_id.826943744065750%3Aphoto_id.2360225717404204%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2360225717404204%2C%22story_fbids%22%3A%5B2360225717404204%5D%2C%22publish_time%22%3A1561469856%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2360225717404204%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A69%3A0%3A1561964399%3A5013334101238212346&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
Mom Bloggers by Influence 5.19.xlsx,john@sunnyradio.com,john@sunnyradio.com,facebook,abc69f70-af66-4617-97f3-19b797266add,Here's a link to today's,2019-06-24 09:34:00,John And Heidi Show,JohnAndHeidiShow,,,0,post,Here's a link to today's show notes!!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I826943744065750%3A2358541137572662&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1561988927&hash=AeQ-KyhJqLSNG4jd&refid=17&_ft_=mf_story_key.2358541137572662%3Atop_level_post_id.2358541137572662%3Atl_objid.2358541137572662%3Acontent_owner_id_new.826943744065750%3Athrowback_story_fbid.2358541137572662%3Apage_id.826943744065750%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22826943744065750%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A826943744065750%2C%22post_context%22%3A%7B%22story_fbid%22%3A2358541137572662%2C%22story_fbids%22%3A%5B2358541137572662%5D%2C%22publish_time%22%3A1561386873%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A826943744065750%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A826943744065750%2C%22actor_id%22%3A826943744065750%2C%22role%22%3A1%2C%22post_id%22%3A2358541137572662%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.826943744065750%3A306061129499414%3A2%3A0%3A1561964399%3A5609600465331029582&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,JohnAndHeidiShow
