account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,08f4eac3-0b67-473d-9246-68b428cae022,Ideas for backyard games the,2019-06-28 14:00:00,Family Focus Blog,familyfocusblog,,,0,post,Ideas for backyard games the kids will enjoy.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157532393194273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017946&hash=AeTKwCLr8MwERPJC&refid=17&_ft_=mf_story_key.10157532393194273%3Atop_level_post_id.10157532393194273%3Atl_objid.10157532393194273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157532393194273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157532393194273%2C%22story_fbids%22%3A%5B10157532393194273%5D%2C%22publish_time%22%3A1561730703%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157532393194273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A7377144694763180493&__tn__=%2AW-R,2,0,,0,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,7aac89fb-91e0-4edf-b7c7-8112ae377d69,Fun ideas to get the,2019-06-27 14:23:00,Family Focus Blog,familyfocusblog,,,0,post,Fun ideas to get the kids busy outside!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157530568239273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017946&hash=AeR-r5Qn0qpTGnd0&refid=17&_ft_=mf_story_key.10157530568239273%3Atop_level_post_id.10157530568239273%3Atl_objid.10157530568239273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157530568239273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157530568239273%2C%22story_fbids%22%3A%5B10157530568239273%5D%2C%22publish_time%22%3A1561663394%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157530568239273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A2875488443888953884&__tn__=%2AW-R,2,0,,0,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,5a1f694f-89f9-4bfb-8c9d-45e92bdbff7c,In case you missed the,2019-06-26 18:25:00,Family Focus Blog,familyfocusblog,,,0,post,"In case you missed the announcement earlier this week, I have a new book coming out called Sharing Stories Making Memories. I am so excited for it to help strengthen family bonds by bringing grandchildren and #grandparents together as they work on fun journal prompts together! It makes a great gift...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157528107029273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017946&hash=AeSTNzkAj3pXTE3m&refid=17&_ft_=mf_story_key.10157528107029273%3Atop_level_post_id.10157528107029273%3Atl_objid.10157528107029273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157528107029273%3Apage_id.227106154272%3Aphoto_id.10157528099219273%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157528107029273%2C%22story_fbids%22%3A%5B10157528107029273%5D%2C%22publish_time%22%3A1561591514%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157528107029273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A-8081709588745649046&__tn__=%2AW-R,15,0,,5,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,06042a8f-dbe3-47d1-8a06-218bb260e516,Such a nice recipe for,2019-06-25 09:51:00,Family Focus Blog,familyfocusblog,,,0,post,Such a nice recipe for rejuvenating dry skin! #DIYBeauty,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157524267419273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017946&hash=AeSpP7YCtaCFnLE-&refid=17&_ft_=mf_story_key.10157524267419273%3Atop_level_post_id.10157524267419273%3Atl_objid.10157524267419273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157524267419273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157524267419273%2C%22story_fbids%22%3A%5B10157524267419273%5D%2C%22publish_time%22%3A1561474263%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157524267419273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A-206725937309677077&__tn__=%2AW-R,13,0,,2,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,2490690f-d4bc-44ca-9a0b-7877c8cf99e4,I have been wanting to,2019-06-24 11:54:00,Family Focus Blog,familyfocusblog,,,0,post,"I have been wanting to share this with you for so long, and I finally can! 🎉 I wrote a book, and it's officially available for preorder! Here's my amazon affiliate link so you can check it out! amzn.to/2WFx3L5 My goal with this book is to help grandparents and grandchildren connect in a meaningful...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157521883619273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017946&hash=AeQdPPBWyyDsXzLb&refid=17&_ft_=mf_story_key.10157521883619273%3Atop_level_post_id.10157521883619273%3Atl_objid.10157521883619273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157521883619273%3Apage_id.227106154272%3Aphoto_id.10157521865529273%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157521883619273%2C%22story_fbids%22%3A%5B10157521883619273%5D%2C%22publish_time%22%3A1561395242%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157521883619273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A-2553264866939420438&__tn__=%2AW-R,48,0,,2,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,77a087cd-607b-4aa5-89ff-9bcf4867850a,/ f a m i,2019-06-23 21:22:00,Family Focus Blog,familyfocusblog,,,0,post,/ f a m i l y f o c u s b l o g / p h o t o s / a . 1 0 1 5 0 7 2 2 3 4 1 5 1 9 2 7 3 / 1 0 1 5 7 5 2 0 3 7 4 0 7 4 2 7 3 / ? t y p e = 3 & r e f i d = 1 7 & _ f t _ = m f _ s t o r y _ k e y . 1 0 1 5 7 5 2 0 3 7 4 3 8 9 2 7 3 % 3 A t o p _ l e v e l _ p o s t _ i d . 1 0 1 5 7 5 2 0 3 7 4 0 7 4 2 7 3 % 3 A t l _ o b j i d . 1 0 1 5 7 5 2 0 3 7 4 0 7 4 2 7 3 % 3 A c o n t e n t _ o w n e r _ i d _ n e w . 2 2 7 1 0 6 1 5 4 2 7 2 % 3 A t h r o w b a c k _ s t o r y _ f b i d . 1 0 1 5 7 5 2 0 3 7 4 3 8 9 2 7 3 % 3 A p a g e _ i d . 2 2 7 1 0 6 1 5 4 2 7 2 % 3 A p h o t o _ i d . 1 0 1 5 7 5 2 0 3 7 4 0 7 4 2 7 3 % 3 A s t o r y _ l o c a t i o n . 4 % 3 A s t o r y _ a t t a c h m e n t _ s t y l e . c o v e r _ p h o t o % 3 A p a g e _ i n s i g h t s . % 7 B % 2 2 2 2 7 1 0 6 1 5 4 2 7 2 % 2 2 % 3 A % 7 B % 2 2 r o l e % 2 2 % 3 A 1 % 2 C % 2 2 p a g e _ i d % 2 2 % 3 A 2 2 7 1 0 6 1 5 4 2 7 2 % 2 C % 2 2 p o s t _ c o n t e x t % 2 2 % 3 A % 7 B % 2 2 s t o r y _ f b i d % 2 2 % 3 A 1 0 1 5 7 5 2 0 3 7 4 3 8 9 2 7 3 % 2 C % 2 2 s t o r y _ f b i d s % 2 2 % 3 A % 5 B 1 0 1 5 7 5 2 0 3 7 4 3 8 9 2 7 3 % 5 D % 2 C % 2 2 p u b l i s h _ t i m e % 2 2 % 3 A 1 5 6 1 3 4 2 9 3 4 % 2 C % 2 2 s t o r y _ n a m e % 2 2 % 3 A % 2 2 E n t C o v e r P h o t o E d g e S t o r y % 2 2 % 2 C % 2 2 o b j e c t _ f b t y p e % 2 2 % 3 A 2 2 % 7 D % 2 C % 2 2 a c t o r _ i d % 2 2 % 3 A 2 2 7 1 0 6 1 5 4 2 7 2 % 2 C % 2 2 p s n % 2 2 % 3 A % 2 2 E n t C o v e r P h o t o E d g e S t o r y % 2 2 % 2 C % 2 2 s l % 2 2 % 3 A 4 % 2 C % 2 2 d m % 2 2 % 3 A % 7 B % 2 2 i s S h a r e % 2 2 % 3 A 0 % 2 C % 2 2 o r i g i n a l P o s t O w n e r I D % 2 2 % 3 A 0 % 7 D % 7 D % 7 D % 3 A t h i d . 2 2 7 1 0 6 1 5 4 2 7 2 % 3 A 3 0 6 0 6 1 1 2 9 4 9 9 4 1 4 % 3 A 6 2 % 3 A 0 % 3 A 1 5 6 1 9 6 4 3 9 9 % 3 A - 9 0 5 7 0 2 7 1 2 3 6 7 9 5 7 0 5 2 2 & _ _ t n _ _ = % 2 A W - R,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157520374389273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017962&hash=AeR5GiySC3ye68Uq&refid=17&_ft_=mf_story_key.10157520374389273%3Atop_level_post_id.10157520374074273%3Atl_objid.10157520374074273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157520374389273%3Apage_id.227106154272%3Aphoto_id.10157520374074273%3Astory_location.4%3Astory_attachment_style.cover_photo%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157520374389273%2C%22story_fbids%22%3A%5B10157520374389273%5D%2C%22publish_time%22%3A1561342934%2C%22story_name%22%3A%22EntCoverPhotoEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntCoverPhotoEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.227106154272%3A306061129499414%3A62%3A0%3A1561964399%3A-9057027123679570522&__tn__=%2AW-R,4,0,,0,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,7279d8ca-cfb8-467c-9be7-4156f2416410,Once is a mistake. Twice,2019-06-23 16:55:00,Family Focus Blog,familyfocusblog,,,0,post,Once is a mistake. Twice is a pattern. Three times is a habit. This is a good lesson to teach our kids about apologies.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157519908109273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017962&hash=AeQ_VVRQCkOvPBo8&refid=17&_ft_=mf_story_key.10157519908109273%3Atop_level_post_id.10157519908109273%3Atl_objid.10157519908109273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157519908109273%3Apage_id.227106154272%3Aphoto_id.10157519906644273%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157519908109273%2C%22story_fbids%22%3A%5B10157519908109273%5D%2C%22publish_time%22%3A1561326953%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157519908109273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A2482170739112283645&__tn__=%2AW-R,8,0,,1,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,0359db18-2ff2-4bdc-8419-ce5920f27748,I love this recipe. So,2019-06-22 11:39:00,Family Focus Blog,familyfocusblog,,,0,post,I love this recipe. So relaxing!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157516225974273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017962&hash=AeQK6IiffLHTYfO-&refid=17&_ft_=mf_story_key.10157516225974273%3Atop_level_post_id.10157516225974273%3Atl_objid.10157516225974273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157516225974273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157516225974273%2C%22story_fbids%22%3A%5B10157516225974273%5D%2C%22publish_time%22%3A1561221569%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157516225974273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A-769373994820577675&__tn__=%2AW-R,3,0,,1,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,02820bae-9fb6-45c2-97c2-c63667bb8302,A few good safety reminders!,2019-06-21 14:00:00,Family Focus Blog,familyfocusblog,,,0,post,A few good safety reminders!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157513790719273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017962&hash=AeTz__KsBE7ognj5&refid=17&_ft_=mf_story_key.10157513790719273%3Atop_level_post_id.10157513790719273%3Atl_objid.10157513790719273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157513790719273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157513790719273%2C%22story_fbids%22%3A%5B10157513790719273%5D%2C%22publish_time%22%3A1561143647%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157513790719273%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A7534963940602849033&__tn__=%2AW-R,8,0,,3,0,,,,,,,2019-06-28,familyfocusblog
Mom Bloggers by Influence 5.19.xlsx,familyfocusblog@gmail.com,familyfocusblog@gmail.com,facebook,8d12ddec-5d99-4d20-8688-7592a2ae75eb,Love these great tips for,2019-06-21 10:55:00,Family Focus Blog,familyfocusblog,,,0,post,Love these great tips for decluttering from Money Crashers!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I227106154272%3A10157513403569273&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562017962&hash=AeQOeJKFlCiLKck9&refid=17&_ft_=mf_story_key.10157513403569273%3Atop_level_post_id.10157513403569273%3Atl_objid.10157513403569273%3Acontent_owner_id_new.227106154272%3Athrowback_story_fbid.10157513403569273%3Apage_id.227106154272%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22227106154272%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A227106154272%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157513403569273%2C%22story_fbids%22%3A%5B10157513403569273%5D%2C%22publish_time%22%3A1561132511%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A227106154272%2C%22actor_id%22%3A227106154272%2C%22role%22%3A1%2C%22post_id%22%3A10157513403569273%2C%22share_id%22%3A0%7D%5D%7D%2C%22202873992849%22%3A%7B%22page_id%22%3A202873992849%2C%22role%22%3A16%2C%22actor_id%22%3A227106154272%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.227106154272%3A306061129499414%3A2%3A0%3A1561964399%3A666345414534579055&__tn__=%2AW-R,10,0,,5,0,,,,,,,2019-06-28,familyfocusblog
