account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,0c0f2146-7848-4377-bb55-e091bf460777,Keeping gossiping habits at bay,2019-06-28 20:00:00,Mighty Mommy,MightyMommy,,,0,post,Keeping gossiping habits at bay with these tips.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157475162629074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016068&hash=AeS4JO8bG3kbaPYy&refid=17&_ft_=mf_story_key.10157475162629074%3Atop_level_post_id.10157475162629074%3Atl_objid.10157475162629074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157475162629074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157475162629074%2C%22story_fbids%22%3A%5B10157475162629074%5D%2C%22publish_time%22%3A1561750380%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157475162629074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A-3552716558179999880&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,3e726c2e-364d-4b46-9778-ffea3dd72976,Tired of yelling at your,2019-06-27 16:05:00,Mighty Mommy,MightyMommy,,,0,post,"Tired of yelling at your kids to put on their shoes, grab their jackets, and lock the door every time you head out? Here are a few ways to get your kid to follow your directions—fast.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157472418914074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016068&hash=AeRZ9DckK9ljV9ok&refid=17&_ft_=mf_story_key.10157472418914074%3Atop_level_post_id.10157472418914074%3Atl_objid.10157472418914074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157472418914074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157472418914074%2C%22story_fbids%22%3A%5B10157472418914074%5D%2C%22publish_time%22%3A1561665900%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157472418914074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A8069334512011306792&__tn__=%2AW-R,6,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,a16b185b-dde0-49d4-b35a-b8e812332614,Talking with aging parents about,2019-06-26 15:28:00,Mighty Mommy,MightyMommy,,,0,post,Talking with aging parents about their money and future wishes can be a touchy subject (but a necessary one). Money Girl and author Cameron Huddleston share how you can get the conversation going.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157469922124074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016068&hash=AeRoU5dL8CiyLJRs&refid=17&_ft_=mf_story_key.10157469922124074%3Atop_level_post_id.10157469922124074%3Atl_objid.10157469922124074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157469922124074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157469922124074%2C%22story_fbids%22%3A%5B10157469922124074%5D%2C%22publish_time%22%3A1561577280%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157469922124074%2C%22share_id%22%3A0%7D%5D%7D%2C%2250534541751%22%3A%7B%22page_id%22%3A50534541751%2C%22role%22%3A16%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A-4060721710698889575&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,02f0d292-0357-426a-93dd-d8215838e817,With school letting out for,2019-06-25 16:01:00,Mighty Mommy,MightyMommy,,,0,post,"With school letting out for the summer, your child may find himself with much more free time to spend on social media. Here's how you can make sure they find a healthy balance between the online and real worlds.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157467284094074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016068&hash=AeQ1Ll1HPKjXbNZR&refid=17&_ft_=mf_story_key.10157467284094074%3Atop_level_post_id.10157467284094074%3Atl_objid.10157467284094074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157467284094074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157467284094074%2C%22story_fbids%22%3A%5B10157467284094074%5D%2C%22publish_time%22%3A1561492860%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157467284094074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A-3766731491084033909&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,1845a489-aae1-411e-af78-d8ac3883a169,You don't get a pass,2019-06-24 10:13:00,Mighty Mommy,MightyMommy,,,0,post,You don't get a pass on being a parent when you have a bad day. Mighty Mommy shares a few tips for bringing your parenting A game when you're down in the dumps.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157464932099074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016068&hash=AeRz8PQyi8Guo4Vs&refid=17&_ft_=mf_story_key.10157464932099074%3Atop_level_post_id.10157464932099074%3Atl_objid.10157464932099074%3Acontent_owner_id_new.55958189073%3Aoriginal_content_id.2487741524638087%3Aoriginal_content_owner_id.114080195337577%3Athrowback_story_fbid.10157464932099074%3Apage_id.55958189073%3Astory_location.4%3Aattached_story_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157464932099074%2C%22story_fbids%22%3A%5B10157464932099074%5D%2C%22publish_time%22%3A1561385593%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A2487741524638087%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157464932099074%2C%22share_id%22%3A2487741524638087%7D%5D%7D%2C%22114080195337577%22%3A%7B%22page_id%22%3A114080195337577%2C%22role%22%3A1%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22attached_story%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A114080195337577%2C%22post_context%22%3A%7B%22story_fbid%22%3A2487741524638087%2C%22story_fbids%22%3A%5B2487741524638087%5D%2C%22publish_time%22%3A1561384600%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A114080195337577%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A114080195337577%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A2487741524638087%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A2719157078293934916&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,9cd8381b-f730-4df1-b934-87b270859fe1,Saw this and thought it,2019-06-22 04:17:00,Mighty Mommy,MightyMommy,,,0,post,Saw this and thought it was a great message for us parents. 😊,https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157458180279074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016084&hash=AeQmrktvMCoMO6Cj&refid=17&_ft_=mf_story_key.10157458180279074%3Atop_level_post_id.10157458180279074%3Atl_objid.10157458180279074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157458180279074%3Apage_id.55958189073%3Aphoto_id.10157458178949074%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157458180279074%2C%22story_fbids%22%3A%5B10157458180279074%5D%2C%22publish_time%22%3A1561191471%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157458180279074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A2864387632038986758&__tn__=%2AW-R,83,0,,1,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,d5de7291-ef80-4ad2-a074-4db60ecf4b80,Happy first day of summer!,2019-06-21 15:50:00,Mighty Mommy,MightyMommy,,,0,post,"Happy first day of summer! Before you take your beach chairs out for the season, take the time to put a few strategies in place so that you and your family can focus on enjoying the lazy days of summer rather than trying to survive them.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157453721604074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016084&hash=AeT9vWeLUWl615xS&refid=17&_ft_=mf_story_key.10157453721604074%3Atop_level_post_id.10157453721604074%3Atl_objid.10157453721604074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157453721604074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157453721604074%2C%22story_fbids%22%3A%5B10157453721604074%5D%2C%22publish_time%22%3A1561146600%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157453721604074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A4143458783801483725&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,d97dd6c8-5cc8-49df-8ee7-dbba4cd44a9f,It doesn’t really matter how,2019-06-20 14:51:00,Mighty Mommy,MightyMommy,,,0,post,"It doesn’t really matter how or why you might find yourself taking on the role as a single parent, what’s most important is creating the best life possible for both you and your family. Tag a boss single mom you know!",https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157453724114074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016084&hash=AeRVNsc--WDMaS7H&refid=17&_ft_=mf_story_key.10157453724114074%3Atop_level_post_id.10157453724114074%3Atl_objid.10157453724114074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157453724114074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157453724114074%2C%22story_fbids%22%3A%5B10157453724114074%5D%2C%22publish_time%22%3A1561056660%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157453724114074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A5330540846252911701&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,db2d79d2-ef2e-4d55-b42c-232b020baaac,Struggling to get pregnant for,2019-06-19 16:56:00,Mighty Mommy,MightyMommy,,,0,post,Struggling to get pregnant for a second time after having an easy time conceiving your first baby is painful and confusing.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157450786619074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016084&hash=AeToaZpIr2ELFzDZ&refid=17&_ft_=mf_story_key.10157450786619074%3Atop_level_post_id.10157450786619074%3Atl_objid.10157450786619074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157450786619074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157450786619074%2C%22story_fbids%22%3A%5B10157450786619074%5D%2C%22publish_time%22%3A1560977760%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157450786619074%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A8383562944107240721&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
Mom Bloggers by Influence 5.19.xlsx,mommy@quickanddirtytips.com,mommy@quickanddirtytips.com,facebook,d989640e-397e-4e7a-ae0c-da8f9517339f,Your kids don't have to,2019-06-18 16:11:00,Mighty Mommy,MightyMommy,,,0,post,"Your kids don't have to dread their summer reading projects. They can enjoy them (yes, really!). Grammar Girl shares her tips for making a reader out of your child this summer.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I55958189073%3A10157448452234074&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562016084&hash=AeRDOBfkyL7HefI8&refid=17&_ft_=mf_story_key.10157448452234074%3Atop_level_post_id.10157448452234074%3Atl_objid.10157448452234074%3Acontent_owner_id_new.55958189073%3Athrowback_story_fbid.10157448452234074%3Apage_id.55958189073%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%2255958189073%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A55958189073%2C%22post_context%22%3A%7B%22story_fbid%22%3A10157448452234074%2C%22story_fbids%22%3A%5B10157448452234074%5D%2C%22publish_time%22%3A1560888660%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A55958189073%2C%22actor_id%22%3A55958189073%2C%22role%22%3A1%2C%22post_id%22%3A10157448452234074%2C%22share_id%22%3A0%7D%5D%7D%2C%22133624050227%22%3A%7B%22page_id%22%3A133624050227%2C%22role%22%3A16%2C%22actor_id%22%3A55958189073%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.55958189073%3A306061129499414%3A2%3A0%3A1561964399%3A5427622219016292303&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-28,MightyMommy/
