account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,e98e3d3a-93ac-4d51-960b-fc297381f8eb,It’s a good day for,2019-06-28 16:00:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,It’s a good day for some tacos on the Waterfront. Yummy yummy. . . . #thefeedfeed #lunch #mainefoodie #lunchtime🍴 #mainefood #taco #tacos🌮 #tacoeveryday,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2802601503089432%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009417&hash=AeS3u7lu_EUFE-BG&refid=17&_ft_=mf_story_key.2802601503089432%3Atop_level_post_id.2802601503089432%3Atl_objid.2802601503089432%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2802601503089432%3Apage_id.113371435345799%3Aphoto_id.2802601503089432%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2802601503089432%2C%22story_fbids%22%3A%5B2802601503089432%5D%2C%22publish_time%22%3A1561738516%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2802601503089432%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A-2630123047507501971&__tn__=%2AW-R,6,0,,0,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,cfec1c2e-9a60-4b9f-a3d3-c0aa43cfac84,Birthday sushi is the best,2019-06-28 02:00:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,Birthday sushi is the best sushi.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2801494046533511%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009417&hash=AeTQrnPXxAq2oyVk&refid=17&_ft_=mf_story_key.2801494046533511%3Atop_level_post_id.2801494046533511%3Atl_objid.2801494046533511%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2801494046533511%3Apage_id.113371435345799%3Aphoto_id.2801494046533511%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2801494046533511%2C%22story_fbids%22%3A%5B2801494046533511%5D%2C%22publish_time%22%3A1561685907%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2801494046533511%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A-6591898745427020819&__tn__=%2AW-R,20,0,,8,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,717e42b0-2c5c-4365-832d-22b2455e9a53,"It’s radish toast season! Look,",2019-06-26 09:21:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,"It’s radish toast season! Look, I like avocado toast and all, but radish toast is my darling, my love, my treat. Butter the toast, line with radishes, finish with salt and pepper. Delightful! . . . #thefeedfeed #mainefoodie #mainefood #radishtoast #radishes #radish #radishspirit #radishlove...",https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2798618630154386%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009417&hash=AeTSWvKrELMjclR1&refid=17&_ft_=mf_story_key.2798618630154386%3Atop_level_post_id.2798618630154386%3Atl_objid.2798618630154386%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2798618630154386%3Apage_id.113371435345799%3Aphoto_id.2798618630154386%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2798618630154386%2C%22story_fbids%22%3A%5B2798618630154386%5D%2C%22publish_time%22%3A1561555274%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2798618630154386%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A-1970841808060079260&__tn__=%2AW-R,6,0,,3,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,ba7c39df-c5e1-4312-9579-946a51bf3577,It's strawberry season It's rhubarb,2019-06-25 20:55:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,It's strawberry season It's rhubarb season. It's strawberry rhubarb jam season!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2797627570253492&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009417&hash=AeRr49CNWYDd1Qd0&refid=17&_ft_=mf_story_key.2797627570253492%3Atop_level_post_id.2797627570253492%3Atl_objid.2797627570253492%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2797627570253492%3Apage_id.113371435345799%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2797627570253492%2C%22story_fbids%22%3A%5B2797627570253492%5D%2C%22publish_time%22%3A1561510529%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2797627570253492%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A2%3A0%3A1561964399%3A-1229868694574715939&__tn__=%2AW-R,9,0,,1,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,ad4fe95c-63da-49ae-a07b-284ee2c3c971,Salad gets wild with this,,Sarah's Cucina Bella,sarahscucinabella,,,0,post,Salad gets wild with this Steak and Potato Salad with Blender Hollandaise Sauce. It’s a delightful way to enjoy veggies in a decadent way. #ad #SuperCrispyMealHero Grown in Idaho,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2796543777028538&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009417&hash=AeRF8qQniI1XzYzB&refid=17&_ft_=mf_story_key.2796543777028538%3Atop_level_post_id.2796543777028538%3Atl_objid.2796543777028538%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2796543777028538%3Apage_id.113371435345799%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2796543777028538%2C%22story_fbids%22%3A%5B2796543777028538%5D%2C%22publish_time%22%3A1561466658%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2796543777028538%2C%22share_id%22%3A0%7D%5D%7D%2C%22456330121165496%22%3A%7B%22page_id%22%3A456330121165496%2C%22role%22%3A8%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A456330121165496%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A8%7D%5D%7D%2C%22306300199827959%22%3A%7B%22page_id%22%3A306300199827959%2C%22role%22%3A16%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.113371435345799%3A306061129499414%3A2%3A0%3A1561964399%3A5352491439620842260&__tn__=%2AW-R,4,0,,0,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,0d88eede-85e5-4599-8cf5-7e8bf31110bb,Sandwich on the beach? Summer,2019-06-22 13:59:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,"Sandwich on the beach? Summer is definitely here. Welcome, old friend. . . . #thefeedfeed #lunch #lunchtime🍴 #sandwich #sandwichesofinstagram #beach #beachlife🌴 #beacheats #summer #connecticutgram",https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2791221984227384%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009432&hash=AeSmztGX-2D1HKSz&refid=17&_ft_=mf_story_key.2791221984227384%3Atop_level_post_id.2791221984227384%3Atl_objid.2791221984227384%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2791221984227384%3Apage_id.113371435345799%3Aphoto_id.2791221984227384%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2791221984227384%2C%22story_fbids%22%3A%5B2791221984227384%5D%2C%22publish_time%22%3A1561226374%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2791221984227384%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A587636331065177400&__tn__=%2AW-R,8,0,,1,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,9a51cc7a-3e0d-4b2a-bb08-b5a52c545db2,"Smoky, well-seasoned grilled pork tenderloin",,Sarah's Cucina Bella,sarahscucinabella,,,0,post,"Smoky, well-seasoned grilled pork tenderloin is delightful served with rice noodles, carrots, garlicky spinach and spicy quick pickles. This is a dish perfect for savoring after a long day. #ad #QualityFreshPork #GetGrillingAmerica Walmart",https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2784984451517804&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009432&hash=AeR9q-F9t474TpHy&refid=17&_ft_=mf_story_key.2784984451517804%3Atop_level_post_id.2784984451517804%3Atl_objid.2784984451517804%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2784984451517804%3Apage_id.113371435345799%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2784984451517804%2C%22story_fbids%22%3A%5B2784984451517804%5D%2C%22publish_time%22%3A1560947802%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2784984451517804%2C%22share_id%22%3A0%7D%5D%7D%2C%22456330121165496%22%3A%7B%22page_id%22%3A456330121165496%2C%22role%22%3A8%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A456330121165496%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A8%7D%5D%7D%2C%22159616034235%22%3A%7B%22page_id%22%3A159616034235%2C%22role%22%3A16%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.113371435345799%3A306061129499414%3A2%3A0%3A1561964399%3A-272252651727158204&__tn__=%2AW-R,6,0,,1,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,4fc1ba2d-ce71-4ad0-9c6d-937313f7987a,Dessert night! Recipe testing is,2019-06-16 21:10:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,Dessert night! Recipe testing is fun.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2780366051979644%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009432&hash=AeRWIMB5vllwq-5y&refid=17&_ft_=mf_story_key.2780366051979644%3Atop_level_post_id.2780366051979644%3Atl_objid.2780366051979644%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2780366051979644%3Apage_id.113371435345799%3Aphoto_id.2780366051979644%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2780366051979644%2C%22story_fbids%22%3A%5B2780366051979644%5D%2C%22publish_time%22%3A1560733806%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2780366051979644%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A-411663990248794985&__tn__=%2AW-R,17,0,,2,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,a6e49aa3-68f0-4a0c-90b2-9ec9a0a82e9c,A juicy burger ... on,2019-06-11 09:18:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,A juicy burger ... on a salad? With bacon and gouda cheese sauce? Just say yes to this over-the-top dinner idea.,https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2769885116361071&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009432&hash=AeQJ5hr5VOZgNzRD&refid=17&_ft_=mf_story_key.2769885116361071%3Atop_level_post_id.2769885116361071%3Atl_objid.2769885116361071%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2769885116361071%3Apage_id.113371435345799%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2769885116361071%2C%22story_fbids%22%3A%5B2769885116361071%5D%2C%22publish_time%22%3A1560259131%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2769885116361071%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A2%3A0%3A1561964399%3A-9011917501875517242&__tn__=%2AW-R,4,0,,1,0,,,,,,,2019-06-28,sarahscucinabella
Mom Bloggers by Influence 5.19.xlsx,scaron@bangordailynews.com,scaron@bangordailynews.com,facebook,f67f7a2b-75e1-446f-b16e-ea0265e79e5f,Happy opening day to Portland,2019-06-11 05:44:00,Sarah's Cucina Bella,sarahscucinabella,,,0,post,"Happy opening day to Portland Pie Company in Bangor. Can’t wait to bring my kids for a pie. This apple, red onion and garlic thin crust was delightful.",https://www.facebook.com/save/story/basic/?story_id=S%3A_I113371435345799%3A2769585446391038%3A0&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562009432&hash=AeQSt0myxBtF27LK&refid=17&_ft_=mf_story_key.2769585446391038%3Atop_level_post_id.2769585446391038%3Atl_objid.2769585446391038%3Acontent_owner_id_new.113371435345799%3Athrowback_story_fbid.2769585446391038%3Apage_id.113371435345799%3Aphoto_id.2769585446391038%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22113371435345799%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A113371435345799%2C%22post_context%22%3A%7B%22story_fbid%22%3A2769585446391038%2C%22story_fbids%22%3A%5B2769585446391038%5D%2C%22publish_time%22%3A1560246246%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A113371435345799%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A1%2C%22post_id%22%3A2769585446391038%2C%22share_id%22%3A0%7D%5D%7D%2C%222259407034315252%22%3A%7B%22page_id%22%3A2259407034315252%2C%22role%22%3A8%2C%22actor_id%22%3A113371435345799%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A2259407034315252%2C%22actor_id%22%3A113371435345799%2C%22role%22%3A8%7D%5D%7D%7D%3Athid.113371435345799%3A306061129499414%3A69%3A0%3A1561964399%3A1575298696463515232&__tn__=%2AW-R,10,0,,0,0,,,,,,,2019-06-28,sarahscucinabella
