account_id,category_id,category_name,platform,id,title,published_date,author_name,author_id,author_image_url,followers,following,post_type,post_data,link,like_count,dislike_count,share_count,comment_count,view_count,language,sentiment,iso_code,iso_area,parent_url,parent_id,delivered_date,keywords
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,0044515a-d108-4ee9-a01a-8075bed941dd,Congratulations to our latest giveaway,2016-08-16 22:01:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,Congratulations to our latest giveaway winners and a big thanks to our sponsors! Earth's Care Natural Products Good Earth Beauty Go Healthy Next,https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154471018209851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039460&hash=AeSHC3W8ldGXN7wM&refid=17&_ft_=mf_story_key.10154471018209851%3Atop_level_post_id.10154471018209851%3Atl_objid.10154471018209851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154471018209851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154471018209851%2C%22story_fbids%22%3A%5B10154471018209851%5D%2C%22publish_time%22%3A1471410108%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154471018209851%2C%22share_id%22%3A0%7D%5D%7D%2C%22117060881750627%22%3A%7B%22page_id%22%3A117060881750627%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22193405207413941%22%3A%7B%22page_id%22%3A193405207413941%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22298549590176511%22%3A%7B%22page_id%22%3A298549590176511%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-6544069238584741147&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,145db7d3-2302-4069-ba88-26a933205805,Today is last day to,2016-08-14 12:00:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"Today is last day to enter our Natural Bath and Beauty Products #giveaway! You could be one of the FIVE lucky readers to win a set of products from Earth's Care Natural Products, Good Earth Beauty or Go Healthy Next! http://greenbabyguide.com/2016/08/08/natural-bath-and-beauty-products/",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154458754899851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039460&hash=AeSirMr8n-cRpJoy&refid=17&_ft_=mf_story_key.10154458754899851%3Atop_level_post_id.10154458754899851%3Atl_objid.10154458754899851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154458754899851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154458754899851%2C%22story_fbids%22%3A%5B10154458754899851%5D%2C%22publish_time%22%3A1471201200%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154458754899851%2C%22share_id%22%3A0%7D%5D%7D%2C%22117060881750627%22%3A%7B%22page_id%22%3A117060881750627%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22193405207413941%22%3A%7B%22page_id%22%3A193405207413941%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22298549590176511%22%3A%7B%22page_id%22%3A298549590176511%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A4780475570125969468&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,cc1fb670-9016-4517-b8ba-75f730130559,We're always on the lookout,2016-08-11 11:31:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,We're always on the lookout for Natural Bath and Beauty Products. Check out our review of some of our current favorites and enter our #giveaway to win some for yourself! GuruNanda Oil Pulling and Aromatherapy Key West Aloe Hair La Vie Good Earth Beauty Earth's Care Natural Products Go Healthy Next,https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154450305104851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039460&hash=AeSlCGw7XugPuZ9G&refid=17&_ft_=mf_story_key.10154450305104851%3Atop_level_post_id.10154450305104851%3Atl_objid.10154450305104851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154450305104851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154450305104851%2C%22story_fbids%22%3A%5B10154450305104851%5D%2C%22publish_time%22%3A1470940260%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154450305104851%2C%22share_id%22%3A0%7D%5D%7D%2C%22818311261554592%22%3A%7B%22page_id%22%3A818311261554592%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%2238717165941%22%3A%7B%22page_id%22%3A38717165941%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22325205490982657%22%3A%7B%22page_id%22%3A325205490982657%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22193405207413941%22%3A%7B%22page_id%22%3A193405207413941%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22117060881750627%22%3A%7B%22page_id%22%3A117060881750627%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22298549590176511%22%3A%7B%22page_id%22%3A298549590176511%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-7334208989113470334&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,0d572f12-0596-43d2-874a-3452644685a9,Congratulations to the winner of,2016-08-10 11:21:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,Congratulations to the winner of the Frego Silicone and Glass Storage Containers! Don't forget to enter our latest giveaway happening right now!,https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154450288214851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039460&hash=AeQvqFf5dykXji8D&refid=17&_ft_=mf_story_key.10154450288214851%3Atop_level_post_id.10154450288214851%3Atl_objid.10154450288214851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154450288214851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154450288214851%2C%22story_fbids%22%3A%5B10154450288214851%5D%2C%22publish_time%22%3A1470853260%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154450288214851%2C%22share_id%22%3A0%7D%5D%7D%2C%22224830750948089%22%3A%7B%22page_id%22%3A224830750948089%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-3677780468159140131&__tn__=%2AW-R,4,0,,3,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,3a0b065b-c50b-47b8-8776-2e2fb3d011e5,Congratulations to our Picnic Essentials,2016-08-07 12:29:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"Congratulations to our Picnic Essentials winners, and a big shout-out to our sponsors! Silikids Kangovou Justin's",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154437858179851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039460&hash=AeQ75OtXLBm2-xpe&refid=17&_ft_=mf_story_key.10154437858179851%3Atop_level_post_id.10154437858179851%3Atl_objid.10154437858179851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154437858179851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154437858179851%2C%22story_fbids%22%3A%5B10154437858179851%5D%2C%22publish_time%22%3A1470598140%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154437858179851%2C%22share_id%22%3A0%7D%5D%7D%2C%2280668957414%22%3A%7B%22page_id%22%3A80668957414%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22481040518595764%22%3A%7B%22page_id%22%3A481040518595764%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22130396800140%22%3A%7B%22page_id%22%3A130396800140%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-6362762890747174190&__tn__=%2AW-R,3,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,a2f2d69a-2375-4d74-8114-70c24917f2f0,Finally!  We found a,2016-08-06 12:25:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"Finally! We found a glass storage container that is entirely freezer, oven, microwave and dishwasher safe - even the lid! Check out our review of Frego Glass and Silicone storage containers and enter our #giveaway to win both sizes!",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154437852444851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039478&hash=AeTI-LDowSwayTLO&refid=17&_ft_=mf_story_key.10154437852444851%3Atop_level_post_id.10154437852444851%3Atl_objid.10154437852444851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154437852444851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154437852444851%2C%22story_fbids%22%3A%5B10154437852444851%5D%2C%22publish_time%22%3A1470511500%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154437852444851%2C%22share_id%22%3A0%7D%5D%7D%2C%22224830750948089%22%3A%7B%22page_id%22%3A224830750948089%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A7951497928077117909&__tn__=%2AW-R,1,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,9fb28aac-8625-4671-b207-48dbc03541e5,We are all about summer,2016-07-26 11:16:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"We are all about summer picnics, and here are our top picks for what to pack! Enter the #giveaway to win a few picnic essentials from Silikids, Kangovou, and Justin's Nut Butters! OrgaNums Element Snacks Promise Organic MacSports Outdoor Living",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154387528364851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039478&hash=AeQBsjbe9-k854k4&refid=17&_ft_=mf_story_key.10154387528364851%3Atop_level_post_id.10154387528364851%3Atl_objid.10154387528364851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154387528364851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154387528364851%2C%22story_fbids%22%3A%5B10154387528364851%5D%2C%22publish_time%22%3A1469556960%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154387528364851%2C%22share_id%22%3A0%7D%5D%7D%2C%2280668957414%22%3A%7B%22page_id%22%3A80668957414%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22481040518595764%22%3A%7B%22page_id%22%3A481040518595764%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22130396800140%22%3A%7B%22page_id%22%3A130396800140%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-6047668639307365462&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,902c3e48-0d97-4f39-bb20-feaed5479870,Going on a picnic? ,2016-07-19 12:58:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"Going on a picnic? We've reviewed some essentials you'll want to pack in your picnic basket. Plus we're giving away products from Silikids , Kangovou , and Justin's Nut Butters! OrgaNums Element Snacks Promise Organic MacSports Outdoor Living #giveaway",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154386320214851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039478&hash=AeSauzL36Tj8-COJ&refid=17&_ft_=mf_story_key.10154386320214851%3Atop_level_post_id.10154386320214851%3Atl_objid.10154386320214851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154386320214851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.multi_share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154386320214851%2C%22story_fbids%22%3A%5B10154386320214851%5D%2C%22publish_time%22%3A1468958330%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154386320214851%2C%22share_id%22%3A0%7D%5D%7D%2C%2280668957414%22%3A%7B%22page_id%22%3A80668957414%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22481040518595764%22%3A%7B%22page_id%22%3A481040518595764%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22130396800140%22%3A%7B%22page_id%22%3A130396800140%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22429167063850647%22%3A%7B%22page_id%22%3A429167063850647%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%22575730269115988%22%3A%7B%22page_id%22%3A575730269115988%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%2C%221790570501172170%22%3A%7B%22page_id%22%3A1790570501172170%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A272575320401735597&__tn__=%2AW-R,4,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,16711857-ef26-4d17-9151-30001657fce3,Congratulations to our three winners!,2016-07-18 10:11:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,Congratulations to our three winners! We think you'll like the effectiveness of the White Mallow Diaper Cream. Stay tuned for another giveaway starting tomorrow! Weleda,https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154382498579851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039478&hash=AeTpBOn6ueMzTqhT&refid=17&_ft_=mf_story_key.10154382498579851%3Atop_level_post_id.10154382498579851%3Atl_objid.10154382498579851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154382498579851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154382498579851%2C%22story_fbids%22%3A%5B10154382498579851%5D%2C%22publish_time%22%3A1468861888%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154382498579851%2C%22share_id%22%3A0%7D%5D%7D%2C%22198119003432%22%3A%7B%22page_id%22%3A198119003432%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A-8464279389341632376&__tn__=%2AW-R,2,0,,1,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
Mom Bloggers by Influence 5.19.xlsx,greenbabyguide@gmail.com,greenbabyguide@gmail.com,facebook,3ade5f02-bf84-4111-9c75-b7fff6a6742a,Don't forget to enter our,2016-07-17 13:09:00,The Green Baby Guide,The-Green-Baby-Guide-162989064850,,,0,post,"Don't forget to enter our #giveaway for White Mallow Diaper Cream from Weleda! Today is the last day, and we'll be choosing 3 winners!",https://www.facebook.com/save/story/basic/?story_id=S%3A_I162989064850%3A10154358254394851&action=SAVE&surface=mbasic_story&mechanism=ufi_action_link&ext=1562039478&hash=AeQmImJ5z4h6HQrN&refid=17&_ft_=mf_story_key.10154358254394851%3Atop_level_post_id.10154358254394851%3Atl_objid.10154358254394851%3Acontent_owner_id_new.162989064850%3Athrowback_story_fbid.10154358254394851%3Apage_id.162989064850%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22162989064850%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A162989064850%2C%22post_context%22%3A%7B%22story_fbid%22%3A10154358254394851%2C%22story_fbids%22%3A%5B10154358254394851%5D%2C%22publish_time%22%3A1468786140%2C%22story_name%22%3A%22EntShareCreationStory%22%2C%22object_fbtype%22%3A32%7D%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A162989064850%2C%22actor_id%22%3A162989064850%2C%22role%22%3A1%2C%22post_id%22%3A10154358254394851%2C%22share_id%22%3A0%7D%5D%7D%2C%22198119003432%22%3A%7B%22page_id%22%3A198119003432%2C%22role%22%3A16%2C%22actor_id%22%3A162989064850%2C%22psn%22%3A%22EntShareCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.162989064850%3A306061129499414%3A3%3A0%3A1561964399%3A2198316522351112300&__tn__=%2AW-R,0,0,,0,0,,,,,,,2019-06-29,pages/The-Green-Baby-Guide/162989064850
